# GSV_1,GSV_2,GSV_3,nw,kw
0.973730,0.144160,-0.046570,1.330000,0.027500
0.972680,0.145540,-0.046300,1.330000,0.027500
0.971610,0.146900,-0.045990,1.330000,0.027500
0.970500,0.148230,-0.045640,1.330000,0.027500
0.969370,0.149540,-0.045260,1.330000,0.027600
0.968210,0.150820,-0.044830,1.330000,0.027600
0.967030,0.152080,-0.044370,1.330000,0.027700
0.965820,0.153310,-0.043880,1.330000,0.027700
0.964590,0.154520,-0.043350,1.330000,0.027700
0.963340,0.155710,-0.042790,1.330000,0.027700
0.962070,0.156880,-0.042190,1.330000,0.027700
0.960770,0.158030,-0.041570,1.330000,0.027700
0.959450,0.159150,-0.040910,1.330000,0.027700
0.958110,0.160250,-0.040220,1.330000,0.027700
0.956740,0.161340,-0.039500,1.330000,0.027700
0.955340,0.162400,-0.038740,1.330000,0.027600
0.953930,0.163440,-0.037960,1.330000,0.027600
0.952490,0.164450,-0.037140,1.330000,0.027500
0.951020,0.165450,-0.036290,1.330000,0.027500
0.949520,0.166430,-0.035420,1.330000,0.027500
0.948000,0.167390,-0.034510,1.330000,0.027400
0.946450,0.168330,-0.033570,1.330000,0.027300
0.944860,0.169250,-0.032590,1.330000,0.027200
0.943250,0.170150,-0.031590,1.330000,0.027100
0.941590,0.171040,-0.030550,1.330000,0.027000
0.939900,0.171910,-0.029480,1.330000,0.026900
0.938180,0.172770,-0.028380,1.330000,0.026800
0.936410,0.173610,-0.027250,1.330000,0.026600
0.934600,0.174440,-0.026080,1.330000,0.026500
0.932760,0.175260,-0.024880,1.330000,0.026300
0.930880,0.176050,-0.023650,1.330000,0.026200
0.928980,0.176830,-0.022400,1.330000,0.026100
0.927070,0.177590,-0.021130,1.330000,0.025900
0.925140,0.178330,-0.019840,1.330000,0.025600
0.923200,0.179040,-0.018530,1.330000,0.025200
0.921260,0.179730,-0.017210,1.330000,0.025100
0.919320,0.180380,-0.015870,1.330000,0.025000
0.917400,0.181010,-0.014540,1.330000,0.024700
0.915490,0.181610,-0.013190,1.330000,0.024500
0.913590,0.182190,-0.011840,1.330000,0.024100
0.911700,0.182730,-0.010490,1.330000,0.023900
0.909820,0.183250,-0.009130,1.330000,0.023700
0.907940,0.183760,-0.007770,1.330000,0.023600
0.906070,0.184240,-0.006410,1.330000,0.023400
0.904200,0.184710,-0.005040,1.330000,0.023200
0.902330,0.185170,-0.003670,1.330000,0.023000
0.900450,0.185620,-0.002290,1.330000,0.022800
0.898570,0.186060,-0.000920,1.330000,0.022500
0.896670,0.186500,0.000460,1.330000,0.022400
0.894770,0.186930,0.001840,1.330000,0.022400
0.892850,0.187370,0.003230,1.330000,0.022200
0.890920,0.187800,0.004610,1.330000,0.022000
0.888970,0.188230,0.006000,1.330000,0.022000
0.887000,0.188660,0.007390,1.330000,0.022000
0.885010,0.189100,0.008790,1.330000,0.022000
0.883000,0.189540,0.010190,1.330000,0.021800
0.880960,0.189980,0.011600,1.330000,0.021900
0.878890,0.190430,0.013000,1.330000,0.021900
0.876800,0.190890,0.014420,1.330000,0.021900
0.874680,0.191350,0.015830,1.330000,0.022000
0.872540,0.191820,0.017250,1.330000,0.022100
0.870380,0.192280,0.018670,1.330000,0.022200
0.868200,0.192760,0.020090,1.330000,0.022300
0.866010,0.193230,0.021510,1.330000,0.022500
0.863820,0.193700,0.022920,1.330000,0.022800
0.861620,0.194160,0.024330,1.330000,0.023000
0.859420,0.194630,0.025740,1.330000,0.023100
0.857220,0.195090,0.027140,1.330000,0.023300
0.855030,0.195540,0.028540,1.330000,0.023900
0.852840,0.195990,0.029920,1.330000,0.024500
0.850650,0.196440,0.031300,1.330000,0.024800
0.848460,0.196900,0.032680,1.330000,0.025200
0.846270,0.197360,0.034050,1.330000,0.026200
0.844070,0.197820,0.035410,1.330000,0.027700
0.841860,0.198300,0.036760,1.330000,0.028300
0.839630,0.198800,0.038110,1.330000,0.029100
0.837390,0.199310,0.039460,1.330000,0.031100
0.835130,0.199840,0.040790,1.330000,0.032100
0.832860,0.200390,0.042120,1.330000,0.033000
0.830560,0.200960,0.043450,1.330000,0.034600
0.828250,0.201560,0.044770,1.330000,0.036100
0.825920,0.202170,0.046080,1.330000,0.036600
0.823570,0.202800,0.047380,1.330000,0.037000
0.821220,0.203440,0.048680,1.330000,0.037900
0.818850,0.204100,0.049970,1.330000,0.038300
0.816480,0.204770,0.051250,1.330000,0.038500
0.814090,0.205450,0.052520,1.330000,0.039100
0.811710,0.206140,0.053780,1.330000,0.039500
